drug_chembl_id,target_chembl_id,association,pchembl_value
CHEMBL1000,CHEMBL100,1,7.839043173694285
CHEMBL1000,CHEMBL200,1,7.2622982927377215
CHEMBL1000,CHEMBL300,1,7.380369798030985
CHEMBL2000,CHEMBL100,1,6.898544622561664
CHEMBL2000,CHEMBL300,1,7.94062922894091
CHEMBL3000,CHEMBL200,1,6.425508170399402
CHEMBL3000,CHEMBL300,1,7.295204381948379
CHEMBL1000,CHEMBL100,0,
CHEMBL1000,CHEMBL101,0,
CHEMBL2000,CHEMBL100,0,
CHEMBL2000,CHEMBL101,0,
CHEMBL3000,CHEMBL100,0,
CHEMBL3000,CHEMBL101,0,
